Review,Rating,Category,Price,WouldRecommend
"Great product and fast delivery",5,Electronics,199.99,Yes
"Bad quality and worst packaging",1,Electronics,149.50,No
"Average item but useful",3,Home,49.99,Yes
"Amazing value and excellent build",5,Home,89.00,Yes
"Terrible support and refund delay",1,Electronics,129.00,No
"Good quality for the price",4,Kitchen,35.75,Yes
"Not bad but shipping was slow",3,Kitchen,24.50,Maybe
"Excellent performance and easy setup",5,Electronics,299.99,Yes
"Poor battery and hard to use",2,Electronics,179.00,No
"Nice design and smooth experience",4,Home,59.99,Yes
"Bad quality and worst packaging",1,Electronics,149.50,No
"Average item but useful",3,Home,49.99,Yes
"Amazing value and excellent build",5,Home,89.00,Yes
"Terrible support and refund delay",1,Electronics,129.00,No
"Good quality for the price",4,Kitchen,35.75,Yes
Review,Rating,Category,Price,WouldRecommend
"Great product and fast delivery",5,Electronics,199.99,Yes
"Bad quality and worst packaging",1,Electronics,149.50,No
"Average item but useful",3,Home,49.99,Yes
"Poor battery and hard to use",2,Electronics,179.00,No
"Nice design and smooth experience",4,Home,59.99,Yes
"Bad quality and worst packaging",1,Electronics,149.50,No
"Average item but useful",3,Home,49.99,Yes
"Amazing value and excellent build",5,Home,89.00,Yes
"Amazing value and excellent build",5,Home,89.00,Yes
